INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL
A0001,Cyber Threats,,,Ability to identify systemic security issues based on the analysis of vulnerability and configuration data.
A0002,Data Security,,,Ability to match the appropriate knowledge repository technology for a given application or environment.
A0003,Analysis,,,Ability to determine the validity of technology trend data.
A0004,Education/Teaching,,,Ability to develop curriculum that speaks to the topic at the appropriate level for the target audience.
A0005,Encryption and Cryptography,,,Ability to decrypt digital data collections.
A0006,Education/Teaching,,,"Ability to prepare and deliver education and awareness briefings to ensure that systems, network, and data users are aware of and adhere to systems security policies and procedures."
A0007,Analysis,,,Ability to tailor code analysis for application-specific concerns.
A0008,IT Management/Services,,,"Ability to apply the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (e.g., Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DoDAF], Federal Enterprise Architecture Framework [FEAF])."
A0009,Disaster Management,,,Ability to apply supply chain risk management standards.
A0010,Analysis,,,Ability to analyze malware.
A0011,Cybersecurity Foundations,Technical Writing,,Ability to answer questions in a clear and concise manner.
A0012,Cybersecurity Foundations,,,Ability to ask clarifying questions.
A0013,Cybersecurity Foundations,,,"Ability to communicate complex information, concepts, or ideas in a confident and well organized manner through verbal, written, and/or visual means."
A0014,Cybersecurity Foundations,Technical Writing,,Ability to communicate effectively when writing.
A0015,Cyber Threats,,,Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.
A0016,Cybersecurity Foundations,,,Ability to facilitate small group discussions.
A0017,Education/Teaching,,,Ability to gauge learner understanding and knowledge level.
A0018,Cybersecurity Foundations,,,Ability to prepare and present briefings.
A0019,Cybersecurity Foundations,Technical Writing,,Ability to produce technical documentation.
A0020,Education/Teaching,,,Ability to provide effective feedback to students for improving learning.
A0021,Cybersecurity Foundations,,,"Ability to use and understand complex mathematical concepts (e.g., discrete math)."
A0022,Education/Teaching,,,Ability to apply principles of adult learning.
A0023,Cybersecurity Foundations,Technical Writing,,Ability to design valid and reliable assessments.
A0024,Cybersecurity Foundations,Technical Writing,,Ability to develop clear directions and instructional materials.
A0025,Intrusion Detection Systems,,,"Ability to accurately define incidents, problems, and events in the trouble ticketing system."
A0026,Analysis,,,Ability to analyze test data.
A0027,Systems Architecture,,,Ability to apply an organization's goals and objectives to develop and maintain architecture.
A0028,IT Management/Services,,,Ability to assess and forecast manpower requirements to meet organizational objectives.
A0029,Programming Languages,,,Ability to build complex data structures and high-level programming languages.
A0030,Data Mining,,,"Ability to collect, verify, and validate test data."
A0031,Education/Teaching,,,Ability to conduct and implement market research to understand government and industry capabilities and appropriate pricing.
A0032,Education/Teaching,,,Ability to develop curriculum for use within a virtual environment.
A0033,Cyber Crime and Law,,,"Ability to develop policy, plans, and strategy in compliance with laws, regulations, policies, and standards in support of organizational cyber activities."
A0034,Software Development,,,"Ability to develop, update, and/or maintain standard operating procedures (SOPs)."
A0035,Analysis,,,Ability to dissect a problem and examine the interrelationships between data that may appear unrelated.
A0036,IT Management/Services,,,Ability to identify basic common coding flaws at a high level.
A0037,Cybersecurity Foundations,,,Ability to leverage best practices and lessons learned of external organizations and academic institutions dealing with cyber issues.
A0038,Software Development,,,Ability to optimize systems to meet enterprise performance requirements.
A0039,Software Development,,,Ability to oversee the development and update of the life cycle cost estimate.
A0040,Analysis,,,Ability to translate data and test results into evaluative conclusions.
