MANUAL,SKILL
Networking,2G->3G->4G/LTE->5G Standards Heritage
Cyber Threats,"Ability, in close coordination with system security officers, advise authorizing officials, chief information officers, senior information security officers, and the senior accountable official for risk management/risk executive (function), on a range of security-related issues (eg establishing system boundaries; assessing the severity of weaknesses and deficiencies in the system; plans of action and milestones; risk mitigation approaches; security alerts; and potential adverse effects of identified vulnerabilities)"
Communication Architecture and Security,accepted organization planning systems
Data Security,access authentication methods
Data Security,"Access Control Models (MAC, DAC, RBAC, Lattice) "
Data Security,Access Controls
Data Security,Access controls (models and mechanisms)
Information Technology and Forensics,Account for and administer individual requests for release or disclosure of personal and/or protected information
Data Mining,"accurately and completely source all data used in intelligence, assessment and/or planning products"
Data Mining,Accurately characterize targets
Disaster Management,"accurately define incidents, problems, and events in the trouble ticketing system"
Cyber Crime and Law,"Acquire and maintain a working knowledge of constitutional issues which arise in relevant laws, regulations, policies, agreements, standards, procedures, or other issuances"
Cyber Threats,"Acquire and manage the necessary resources, including leadership support, financial resources, and key security personnel, to support information technology (IT) security goals and objectives and reduce overall organizational risk"
Programming Fundamentals,"Acquire necessary resources, including financial resources, to conduct an effective enterprise continuity of operations program"
Communication Architecture and Security,Act as a liaison to the information systems department
Information Technology and Forensics,"Act as a primary stakeholder in the underlying information technology (IT) operational processes and functions that support the service, provide direction and monitor all significant activities so the service is delivered successfully"
Information Technology and Forensics,"Act as, or work with, counsel relating to business partner contracts"
Software Development,"Address security implications in the software acceptance phase including completion criteria, risk acceptance and documentation, common criteria, and methods of independent testing"
Data Mining,Adjust collection operations or collection plan to address identified issues/challenges and to synchronize collections with overall operational requirements
Cybersecurity Foundations,"adjust to and operate in a diverse, unpredictable, challenging, and fast-paced work environment"
Networking,"Administer accounts, network rights, and access to systems and equipment"
Data Security,"Administer action on all complaints concerning the organization’s privacy policies and procedures in coordination and collaboration with other similar functions and, when necessary, legal counsel"
Information Technology and Forensics,"Administer test bed(s), and test and evaluate applications, hardware infrastructure, rules/signatures, access controls, and configurations of platforms managed by service provider(s)"
Information Technology and Forensics,"administrative planning activities, to include preparation of functional and specific support plans, preparing and managing correspondence, and staffing procedures"
Database Systems,advanced data remediation security features in databases
Networking,Advanced Network Security Topics Deep Packet Inspection
Networking,Advanced Network Security Topics Network Address Translation
Networking,Advanced Network Security Topics Secure DNS
Networking,Advanced Network Security Topics Transport Layer Security
Networking,Advanced Routing algorithms and protocols BGP
Cybersecurity Foundations,"adversarial tactics, techniques, and procedures"
Cybersecurity Foundations,Advise appropriate senior leadership or Authorizing Official of changes affecting the organization's cybersecurity posture
Information Technology and Forensics,Advise managers and operators on language and cultural issues that impact organization objectives
Cyber Threats,"Advise senior management (eg, Chief Information Officer [CIO]) on risk levels and security posture"
Analysis,"Advise senior management (eg, CIO) on cost/benefit analysis of information security programs, policies, processes, systems, and elements"
Education/Teaching,"Advocate for adequate funding for cyber training resources, to include both internal and industry-provided courses, instructors, and related materials"
Cyber Crime and Law,Advocate organization's official position in legal and legislative proceedings
Analysis,Algorithm Analysis
Cyber Crime and Law,all-source reporting and dissemination procedures
Data Mining,"Allocate collection assets based on leadership's guidance, priorities, and/or operational emphasis"
Information Technology and Forensics,allocating storage capacity in the design of data management systems
Communication Architecture and Security,"Alternative environments (SCADA, real time systems, critical infrastructures) "
Programming Fundamentals,an organization's information classification program and procedures for information compromise
Cyber Threats,an organization’s threat environment
Analysis,Analysis of Algorithms
Analysis,"analytic tools and techniques for language, voice and/or graphic material"
Analysis,analytical constructs and their use in assessing the operational environment
Analysis,analytical standards and the purpose of intelligence confidence levels
Analysis,Analyze and define data requirements and specifications
Analysis,Analyze and plan for anticipated changes in data capacity requirements
Analysis,Analyze and process information using language and/or cultural expertise
Analysis,Analyze and provide information to stakeholders that will support the development of security application or modification of an existing security application
Analysis,Analyze and report organizational security posture trends
Analysis,Analyze and report system security posture trends
Analysis,"Analyze candidate architectures, allocate security services, and select security mechanisms"
Analysis,Analyze computer-generated threats for counter intelligence or criminal activity
Analysis,Analyze data sources to provide actionable recommendations
Analysis,"Analyze design constraints, analyze trade-offs and detailed system and security design, and consider life cycle support"
Analysis,Analyze feedback to determine extent to which collection products and services are meeting requirements
Analysis,"Analyze identified malicious activity to determine weaknesses exploited, exploitation methods, effects on system and information"
Analysis,Analyze incident data for emerging trends
Analysis,Analyze incoming collection requests
Analysis,"Analyze information to determine, recommend, and plan the development of a new application or modification of an existing application"
Analysis,"Analyze internal operational architecture, tools, and procedures for ways to improve performance"
Analysis,analyze malware
Analysis,Analyze organization's cyber defense policies and configurations and evaluate compliance with regulations and organizational directives
Analysis,Analyze organizational cyber policy
Analysis,"Analyze plans, directives, guidance and policy for factors that would influence collection management's operational structure and requirement s (eg, duration, scope, communication requirements, interagency/international agreements)"
Analysis,Analyze security needs and software requirements to determine feasibility of design within time and cost constraints and security mandates
Analysis,Analyze target operational architecture for ways to gain access
Analysis,analyze test data
Analysis,"Analyze the crisis to ensure public, personal, and resource protection"
Analysis,Analyze the expected and actual effectiveness of proposed countermeasures
Analysis,"Analyze the results of software, hardware, or interoperability testing"
Analysis,Analyze user needs and requirements to plan and conduct system development
Analysis,Analyze user needs and requirements to plan and conduct system security development
Analysis,Analyze user needs and requirements to plan architecture
Analysis,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints
Analysis,analyzing a target's communication networks
Analysis,analyzing anomalous code as malicious or benign
Analysis,"analyzing essential network data (eg, router configuration files, routing protocols)"
Analysis,analyzing language processing tools to provide feedback to enhance tool development
Analysis,analyzing malware
Analysis,analyzing memory dumps to extract information
Analysis,analyzing midpoint collection data
Analysis,analyzing network traffic capacity and performance characteristics
Analysis,analyzing target communications internals and externals collected from wireless LANs
Analysis,analyzing terminal or environment collection data
Analysis,analyzing traffic to identify network devices
Analysis,analyzing volatile data
Intrusion Detection Systems,"Anomaly Detection Anomaly algorithms, such as:"
Intrusion Detection Systems,Anomaly Detection Artificial Intelligence
Intrusion Detection Systems,Anomaly Detection Correlation Techniques
Intrusion Detection Systems,Anomaly Detection Establishing profiles
Intrusion Detection Systems,Anomaly Detection Filtering Algorithms
Intrusion Detection Systems,Anomaly Detection Fuzzy Logic Approaches
Intrusion Detection Systems,Anomaly Detection Neural Networks
Intrusion Detection Systems,Anomaly Detection Statistical Techniques
Information Technology and Forensics,Anonymity and Pseudonymity
Cybersecurity Foundations,answer questions in a clear and concise manner
Cybersecurity Foundations,Answer requests for information
Programming Fundamentals,Antennas
Information Technology and Forensics,"anti-forensics tactics, techniques, and procedures"
Information Technology and Forensics,Anti-reverse engineering techniques
Software Development,applicable business processes and operations of customer organizations
Cyber Crime and Law,"applicable laws, statutes (eg, in Titles 10, 18, 32, 50 in US Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures"
Cyber Crime and Law,"applicable statutes, laws, regulations and policies governing cyber targeting and exploitation"
Programming Fundamentals,Application processes and threads
Cyber Threats,Application Security Risks (eg Open Web Application Security Project Top 10 list)
Cyber Threats,Application Server Vulnerabilities
Cyber Threats,application vulnerabilities
Encryption and Cryptography,Applications of Cryptography and PKI
Software Development,Applications Role in software engineering
Communication Architecture and Security,Applications Role in system design
Software Development,"applications that can log errors, exceptions, and application faults and logging"
Communication Architecture and Security,apply an organization's goals and objectives to develop and maintain architecture
Analysis,Apply analytic techniques to gain more target information
Cyber Crime and Law,"Apply and obey applicable statutes, laws, regulations and policies"
Networking,Apply and utilize authorized cyber capabilities to enable access to targeted networks
Software Development,apply approved planning development and staffing processes
Analysis,"Apply coding and testing standards, apply security testing tools including ""'fuzzing"" static-analysis code scanning tools, and conduct code reviews"
Software Development,apply collaborative skills and strategies
Software Development,"Apply concepts, procedures, software, equipment, and/or technology applications to students"
Software Development,apply critical reading/thinking skills
Data Mining,"Apply cyber collection, environment preparation and engagement expertise to enable new exploitation and/or continued collection operations, or in support of customer requirements"
Data Security,"apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation)"
Encryption and Cryptography,"Apply cybersecurity functions (eg, encryption, access control, and identity management) to reduce exploitation opportunities"
Cyber Crime and Law,"Apply expertise in policy and processes to facilitate the development, negotiation, and internal staffing of plans and/or memorandums of agreement"
Analysis,apply language and cultural expertise to analysis
Programming Fundamentals,Apply Life of Data - N-order Scope Map
Cyber Threats,Apply modeling techniques and vulnerability mapping to evaluate potential security issues
Programming Fundamentals,Apply modularization in low level programs
Networking,"apply network security architecture concepts including topology, protocols, components, and principles (eg, application of defense-in-depth, compartmentalization, least privilege, weakest link, separation and rotation of duties, heirachically trusted components and protection, mediated access, accountablility, traceability)"
Education/Teaching,apply principles of adult learning
Programming Fundamentals,"apply programming language structures (eg, source code review) and logic"
Data Security,Apply secure code documentation
Communication Architecture and Security,"apply secure system design tools, methods and techniques"
Cyber Crime and Law,"Apply security policies to applications that interface with one another, such as Business-to-Business (B2B) applications"
Cyber Crime and Law,Apply security policies to meet security objectives of the system
Communication Architecture and Security,"Apply service-oriented security architecture principles to meet organization's confidentiality, integrity, and availability requirements"
Cyber Threats,apply supply chain risk management standards
Analysis,"apply system design tools, methods, and techniques, including automated systems analysis and design tools"
Intrusion Detection Systems,apply techniques for detecting host and network-based intrusions using intrusion detection technologies
Communication Architecture and Security,apply the Instructional System Design (ISD) methodology
Communication Architecture and Security,"apply the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (eg, Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DoDAF], Federal Enterprise Architecture Framework [FEAF])"
Analysis,applying analytical methods typically employed to support planning and to justify recommended strategies and courses of action
Information Technology and Forensics,applying and incorporating information technologies into proposed solutions
Data Security,"applying confidentiality, integrity, and availability principles"
Data Security,applying crisis planning procedures
Networking,"applying host/network access controls (eg, access control list)"
Networking,Applying network security policies
Analysis,applying organization-specific systems analysis principles and techniques
Data Security,applying secure coding techniques
Data Security,applying security controls
Data Security,"applying security models (eg, Bell-LaPadula model, Biba integrity model, Clark Wilson integrity model, Brewer and Nash Model, Chinese Wall Model, Harrison Ruzzo Ullman Model)"
Data Security,applying technical delivery capabilities
Communication Architecture and Security,applying the systems engineering process
Analysis,"applying various analytical methods, tools, and techniques (eg, competing hypotheses; chain of reasoning; scenario methods; denial and deception detection; high impact-low probability; network/association or link analysis; Bayesian, Delphi, and Pattern analyses, Cluster Analysis, Cohort Analysis, Regression Analysis, Factor Analysis, Neural Networks, Data Mining, Text Analysis, Time Series Analysis, Decision Trees, Conjoint Analysis)"
Information Technology and Forensics,Appoint and guide a team of IT security experts
Cyber Threats,Appropriate Countermeasure
Communication Architecture and Security,"approve security plans, memorandums of agreement or understanding, plans of action and milestones, and determine whether significant changes in the systems or environments of operation require reauthorization"
Information Technology and Forensics,approved intelligence dissemination processes
Communication Architecture and Security,Architecture
