INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL
K0001,Networking,,,"Knowledge of computer networking concepts and protocols, and network security methodologies."
K0002,Disaster Management,,,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk)."
K0003,Cyber Crime and Law,,,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy."
K0004,Cybersecurity Foundations,,,Knowledge of cybersecurity and privacy principles.
K0005,Cyber Threats,,,Knowledge of cyber threats and vulnerabilities.
K0006,Disaster Management,,,Knowledge of specific operational impacts of cybersecurity lapses.
K0007,Data Security,,,"Knowledge of authentication, authorization, and access control methods."
K0008,IT Management/Services,,,Knowledge of applicable business processes and operations of customer organizations.
K0009,Forensics,,,Knowledge of application vulnerabilities.
K0010,Networking,,,"Knowledge of communication methods, principles, and concepts that support the network infrastructure."
K0011,Networking,,,"Knowledge of capabilities and applications of network equipment including routers, switches, bridges, servers, transmission media, and related hardware."
K0012,Analysis,,,Knowledge of capabilities and requirements analysis.
K0013,Cyber Threats,,,Knowledge of cyber defense and vulnerability assessment tools and their capabilities.
K0014,Cybersecurity Foundations,,,Knowledge of complex data structures.
K0015,Cybersecurity Foundations,,,Knowledge of computer algorithms.
K0016,Programming Languages,,,Knowledge of computer programming principles
K0017,Forensics,,,Knowledge of concepts and practices of processing digital forensic data.
K0018,Encryption and Cryptography,,,Knowledge of encryption algorithms
K0019,Encryption and Cryptography,,,Knowledge of cryptography and cryptographic key management concepts
K0020,Database Systems,,,Knowledge of data administration and data standardization policies.
K0021,Database Systems,,,Knowledge of data backup and recovery.
K0022,Data Mining,,,Knowledge of data mining and data warehousing principles.
K0023,Database Systems,,,"Knowledge of database management systems, query languages, table relationships, and views."
K0024,Database Systems,,,Knowledge of database systems.
K0025,Data Security,,,Knowledge of digital rights management.
K0026,Disaster Management,,,Knowledge of business continuity and disaster recovery continuity of operations plans.
K0027,Systems Architecture,,,Knowledge of organization's enterprise information security architecture.
K0028,Forensics,,,Knowledge of organization's evaluation and validation requirements.
K0029,Networking,,,Knowledge of organization's Local and Wide Area Network connections.
K0030,Systems Architecture,,,"Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware)."
K0031,Cybersecurity Foundations,,,Knowledge of enterprise messaging systems and associated software.
K0032,Intrusion Detection Systems,,,Knowledge of resiliency and redundancy.
K0033,Networking,,,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists)."
K0034,Networking,,,Knowledge of network services and protocols interactions that provide network communications.
K0035,Systems Architecture,,,"Knowledge of installation, integration, and optimization of system components."
K0036,Data Mining,,,Knowledge of human-computer interaction principles.
K0037,Data Security,,,Knowledge of Security Assessment and Authorization process.
K0038,Data Security,,,"Knowledge of cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data."
K0039,Software Development,,,Knowledge of cybersecurity and privacy principles and methods that apply to software development.
K0040,Intrusion Detection Systems,,,"Knowledge of vulnerability information dissemination sources (e.g., alerts, advisories, errata, and bulletins)."
K0041,Disaster Management,,,"Knowledge of incident categories, incident responses, and timelines for responses."
K0042,Disaster Management,,,Knowledge of incident response and handling methodologies.
K0043,Analysis,,,Knowledge of industry-standard and organizationally accepted analysis principles and methods.
K0044,Cybersecurity Foundations,Privacy,,"Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation, accountability, awareness, ethics)."
K0045,Systems Architecture,,,Knowledge of information security systems engineering principles (NIST SP 800-160).
K0046,Intrusion Detection Systems,,,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.
K0047,IT Management/Services,,,Knowledge of information technology (IT) architectural concepts and frameworks.
K0048,Intrusion Detection Systems,,,Knowledge of Risk Management Framework (RMF) requirements.
K0049,IT Management/Services,,,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption)."
K0050,Networking,,,Knowledge of local area and wide area networking principles and concepts including bandwidth management.
