INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL,
T0383,Cybersecurity Foundations,Algorithms,,Program custom algorithms.,26
T0359,IT Management/Services,Embedded Systems,,"Design, implement, test, and evaluate secure interfaces between information systems, physical systems, and/or embedded technologies.",132
T0696,Networking,Ethical Hacking,,"Exploit network devices, security devices, and/or terminals or environments using various methods or tools.",107
T0032,Data Security,Privacy,,"Conduct Privacy Impact Assessments (PIAs) of the application’s security design for the appropriate security controls, which protect the confidentiality and integrity of Personally Identifiable Information (PII).",211
T0677,Operating Systems,Scripting,,"Edit or execute simple scripts (e.g., Perl, VBScript) on Windows and UNIX, Linux systems.",89
T0403,Operating Systems,Scripting,,"Read, interpret, write, modify, and execute simple scripts (e.g., Perl, VBScript) on Windows and UNIX, Linux systems (e.g., those that perform tasks such as: parsing large data files, automating manual tasks, and fetching/processing remote data). ",247
T0203,Cyber Threats,Technical Writing,,Provide input on security requirements to be included in statements of work and other appropriate procurement documents.,120
T0014,Cybersecurity Foundations,Technical Writing,,Apply secure code documentation.,32
T0313,Cybersecurity Foundations,Technical Writing,,Design and document quality standards.,38
T0395,Cybersecurity Foundations,Technical Writing,,Write and publish after action reviews.,39
T0075,Cybersecurity Foundations,Technical Writing,,Provide technical summary of findings in accordance with established reporting procedures.,90
T0956,Cybersecurity Foundations,Technical Writing,,Assemble an authorization package and submit the package to an authorizing official for adjudication.,101
T0246,Cybersecurity Foundations,Technical Writing,,"Write and publish cyber defense techniques, guidance, and reports on incident findings to appropriate constituencies.",117
T0546,Cybersecurity Foundations,Technical Writing,,"Write and publish cyber defense recommendations, reports, and white papers on incident findings to appropriate constituencies.",126
T0211,Cybersecurity Foundations,Technical Writing,,Provide system-related input on cybersecurity requirements to be included in statements of work and other appropriate procurement documents.,140
T0026,Cybersecurity Foundations,Technical Writing,,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",163
T0243,Data Security,Technical Writing,,Verify and update security documentation reflecting the application/system security design features.,100
T0950,Forensics,Technical Writing,,Document changes to planned security control implementation and establish the configuration baseline for a system.,114
T0063,IT Management/Services,Technical Writing,,Develop and document systems administration standard operating procedures.,74
T0085,IT Management/Services,Technical Writing,,Ensure all systems security operations and maintenance activities are properly documented and updated as necessary.,115
T0194,IT Management/Services,Technical Writing,,"Properly document all systems security implementation, operations, and maintenance activities and update as necessary.",118
T0198,Networking,Technical Writing,,Provide daily summary reports of network events and activity relevant to cyber defense practices.,97
T0338,Software Development,Technical Writing,,Write detailed functional specifications that document the architecture development process.,92
T0062,Software Development,Technical Writing,,"Develop and document requirements, capabilities, and constraints for design procedures and processes.",101
T0069,Software Development,Technical Writing,,Develop detailed security design documentation for component and interface specifications to support system design and development.,131
T0770,Cybersecurity Foundations,Web Dev,,Characterize websites.,22
T0771,Cybersecurity Foundations,Web Dev,,Provide subject matter expertise to website characterizations.,62
