entry_level,federal_industrial,skills,title,description
1,federal,"['position type', 'jobid', 'information systems analyst-security', 'nonlicensed admin', 'job description link', 'school', 'date posted', 'systems analyst-security', 'type', 'information systems', 'compensation and benefits', 'date', 'information', 'description link', 'admin', 'technology division', 'public schools compensation', 'posted', 'job description', 'systems', 'division', 'complete job description']","(21-22) Information Systems Analyst-Security - Aurora Public Schools - Aurora, CO","JobID: 21195
Position Type:
NonLicensed Admin/Prof.Technical/Information Systems Analyst-Security
Date Posted:
3/3/2022
Location:
Technology Division
Closing Date:
03/15/2022
**2021-22 School Year. **
Click
here
to visit our interactive map where you can find out more information on each individual school, such as highlights, school data, demographics and more.
Aurora Public Schools Compensation and Benefits
Complete Job Description Link"
1,federal,"['responsibilities vary', 'duties', 'monitor programs ensuring', 'programs ensuring compliance', 'standards advise', 'advise and provide', 'skills', 'monitor programs', 'programs ensuring', 'programs', 'assigned programs', 'management administration', 'procedures', 'program position', 'policies', 'administrative matters', 'responsibilities', 'vary']","Administration and Program Management Specialist - Department of the Air Force - McChord AFB, WA","Duties
Duties and responsibilities vary and may increase according to grade level.
Develop, administer, and monitor programs ensuring compliance with policies and standards
Advise and provide counsel to employees regarding policies, procedures, directives of management, and administrative matters.
Prepare and present oral briefings such as training sessions, assigned programs and projects.KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your qualifications will be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the following areas:

1. Knowledge of administrative and management administration to include work flow analysis methods, tools and techniques, data types, methodologies, techniques, procedures, processes and systems as they related to the function, mission, capabilities and role of the Administration and Program position.
2. Knowledge of personnel, budget, security and office processes.
3. Skill in analyzing, planning, organizing and coordinating work.
4. Skill in oral written communication.
5. Skill in using computer systems, networks and applications.
"
1,federal,"['algorithms for ibm', 'scientist is responsible', 'research scientist', 'responsible for researching', 'researching and developing', 'developing ai models', 'models and algorithms', 'publishing research papers', 'research papers', 'ibm', 'publishing research', 'scientist', 'research', 'python and tensorflow', 'natural language processing', 'cross-functional teams', 'conducting experiments', 'experiments and analysis', 'responsible', 'researching', 'developing', 'models', 'algorithms', 'deep learning']",AI Research Scientist,"The AI Research Scientist is responsible for researching and developing AI models and algorithms for IBM. This includes collaborating with cross-functional teams, conducting experiments and analysis, and publishing research papers. Successful candidates should have expertise in machine learning, deep learning, and natural language processing, as well as experience with programming languages such as Python and TensorFlow."
1,federal,"['risk', 'risk dynamics', 'model risk', 'model risk management', 'risk management', 'north american knowledge', 'global risk practice', 'model risk advisory', 'model', 'global risk', 'models', 'center in waltham', 'york city', 'north american', 'risk analytics', 'risk practice', 'modeling techniques', 'business', 'mckinsey global risk', 'techniques']","Analyst - University Students - Risk Dynamics - McKinsey & Company - New York, NY","Who You'll Work With
You’ll work either in our North American Knowledge Center in Waltham, Massachusetts or in our hub in New York City, focusing on risk analytics as part of our Risk Dynamics team, part of McKinsey's global Risk practice.
Our global Risk practice supports clients in many different industries facing challenges of developing and implementing tailored concepts for risk recognition, measurement and control. Risk Dynamics is a global leader in model development, model risk management and independent validation. We solve clients' business issues with advanced analytics, our proposition to properly scope tech enablement transformations. We enhance our clients' decision-making and risk profile by helping them to efficiently manage their model landscape, mitigate their model limitations and optimize their risk models.
Risk Dynamics is a specialized team conducting in-depth validation and model risk advisory services for banks, asset managers, insurance firms and other leading financial institutions. These assessments require a rigorous understanding of both underlying modeling techniques and the overall business context in which such models are being used. Our model development, model validation and model risk advisory work spans multiple risk functions, markets, operating challenges and modeling techniques.
McKinsey fosters innovation driven by analytics, design thinking, mobile and social by developing new products/services and integrating them into our client work. It is helping to shift our model toward asset-based consulting and is a foundation for, and expands our investment in, our entrepreneurial culture. Through innovative software as a service solutions, strategic acquisitions, and a vibrant ecosystem of alliances, we are redefining what it means to work with McKinsey.
What You'll Do
You will complete targeted quantitative analyses and build components of advanced models across the spectrum of Risk management including prospecting, underwriting, portfolio monitoring, pricing, asset evaluation and loss mitigation.
You’ll work on client projects as an integral part of engagement teams and will also contribute to internal knowledge development initiatives. You’ll disaggregate and structure complex, often ambiguous, business problems and evaluate different analytical approaches to develop potential solutions. You will apply advanced analytic and quantitative tools, statistical modeling techniques and data mining procedures to derive business insights and solve complex business problems.
Further, you will deploy statistical modeling and optimization techniques most suited for the business problem (using Python, SAS, SQL, R and other relevant tools) to improve Risk management decision making (e.g. underwriting models). You will contribute to team problem solving through the findings and insights from your analysis and help facilitate data integration and management between clients and McKinsey. Ultimately, you will contribute to the development of knowledge for the analytic group at large.
You will work directly with clients to conduct a hands-on rigorous quantitative analysis including getting the data, cleaning it and exploring it for accuracy. Once data is transformed, you will deploy statistical modeling and optimization techniques most suited for the business problem (using Python, SAS, SQL, R and other relevant tools). You will advise client teams on analytic options to address their specific needs including discussing potential approaches to problems, associated costs, trade-offs and recommendations. You will interpret outputs of statistical models and results with the team to translate input from quantitative analyses into specific and actionable business recommendations. This includes providing detailed documentation of modeling techniques, methodologies and process steps.
You will balance independent modeling and analytical work with oversight of firm teammates including fellows and analysts (50/50 balance). You will also advance McKinsey’s overall knowledge base by providing analytical rigor and problem solving to our proprietary knowledge investments specifically in analytics or the domain area of your expertise.
Qualifications
Advanced quantitative degree (MS, MA) in computer science, mathematics/statistics, engineering or physics; commensurate work experience
3+ years of hands-on work experience using analytical tools (e.g. R, Python) to solve real world problems
Strong experience in and a desire to learn about risk management including operations risk, anti-money-laundering, fraud detection and credit risk
Professional experience in one or more of the following risk analytics domains: credit risk (e.g. line optimization), operational risk (e.g. fraud, anti-money laundering, cyber), model risk management (e.g. validation of AI) or corporate risk (e.g. portfolio optimization)
Experience working in/with enterprise class data environments to access, manipulate and analyze large data sets
Solid expertise using core statistical learning algorithms including linear models, segmentation, dimension reduction, ensemble models, SVMs and kernel methods to analyze large structured and unstructured datasets
Experience in one of the following machine learning/AI areas: natural language processing, deep learning, anomaly detection, graph-based techniques
Strong programming experience (beyond simple scripts) in a modern scientific language (e.g. Python, Matlab, R)
Experience with either TensorFlow, Spark, Java, C#, C++ or C
Knowledge of SQL and SAS is a plus
Ability to execute an analytics process from problem specification through to solution in your area of expertise
Ability to work collaboratively in a team environment and effectively with people at all levels in an organization
Exceptional verbal and written communication skills especially around translating technical knowledge into forms that can be digested by leadership and non-technical project teams
COVID-19 vaccination mandate:
Employment with McKinsey & Company, Inc. in the United States and Canada is conditioned on proof of full vaccination against the COVID-19 virus (with a WHO-approved or Health Canada-approved COVID-19 vaccine, as applicable) or approval of an exemption due to a qualifying medical condition or sincerely held religious belief prior to start date."
1,federal,"['cyber security operations', 'cyber security', 'cyber', 'security', 'security operations', 'hyatt', 'cyber security tools', 'analyst monitors hyatt', 'cyber security incidents', 'security operations plays', 'cyber security infrastructure', 'analyst', 'hyatt hotels', 'operations', 'hyatt ’s cyber', 'position', 'hotels', 'tools', 'certification', 'analyst plays']","ANALYST – CYBER SECURITY OPERATIONS - Hyatt Corporate Office, Chicago - Chicago, IL","Summary
At Hyatt Hotels, Cyber Security is a very important part of our mission to take care of people so they can be their best. The Analyst – Cyber Security Operations plays a crucial role in completing that mission every day by ensuring the global security of our guests, colleagues, and hotels. The Analyst monitors Hyatt’s cyber security infrastructure for signs of intrusion, handles the response to cyber security incidents, and provides suggestions for making Hyatt’s tools more effective.
As a junior employee of the Cyber Security Operations team, the Analyst is expected to learn from more employees in the department and to refine their skills continuously to enhance their capability. By monitoring Hyatt’s environment for signs of suspicious behavior, the Analyst plays a very important role in protecting our guests and colleagues!
Position Responsibilities
Continuously monitor Hyatt’s cyber security tools to detect signs of suspicious activity.
Work with members of the Cyber Security Operations team to enhance skills and knowledge.
Manage small-scope enhancement projects to make small improvements to Hyatt’s security posture.
Provide suggestions to CSO staff for improving detection efficacy.
Qualifications
Experience
At least one year of experience in Cyber Security is preferred; however, any combination of experience, education, and certification that demonstrates the candidate can be successful in the position are acceptable.
Education
A Bachelor’s degree or better in Cyber Security or any security-related subject is preferred; however, any combination of education, experience, and certification that demonstrates the candidate can be successful in the position are acceptable.
Certificates, Licenses, Registrations
A CISSP or CEH certification is preferred; however, any combination of certification, education, and experience that demonstrates the candidate can be successful in the position are acceptable.
Computer Skills Needed to Perform this Job
Experience with SIEM tools, EDR tools, Network IDS, Host IDS, DNS Firewalls, Next Gen Firewalls, Secure Web/Email Gateways is preferred.
Ability to travel worldwide on an as-needed basis in an emergency is required (up to 2% of total work hours).
Position is located on-site at Hyatt headquarters in Chicago, IL. No remote work is permitted."
1,federal,"['experience', 'software', 'specific android', 'software engineer', 'skills', 'world class engineers', 'engineers', 'development engineers', 'engineer with specific', 'class engineers', 'provide', 'provide input', 'software products', 'android', 'influence project', 'seeking', 'specific', 'influence project teams', 'expanding existing products']",Android Software Engineer - Mobile Dev - TITAN TECHNOLOGIES - Remote,"We are currently seeking a Software Engineer with specific Android experience. This is a full time salaried position. You will join a team of world class engineers and developers solving complex problems, building new product lines, and expanding existing products and services. You will be rewarded for creativity and innovation. In this role, you will be joining a team responsible for developing next generation SDK’s, tools, and apps that drive millions, and potentially billions, of payment transactions. This position is 100% remote.

Essential Functions:

Analyze, design, program, debug, and modify complex software enhancement features and/or new software products
Improving the performance of existing software.
Debug and fix software including difficult issues using a broad knowledge of technologies
Participate in and influence project teams to create working software
Provide input and lead code reviews and technical meetings
Recommending new technologies that can help increase productivity.
Contribute and influence project planning and estimates
Provide guidance, mentoring and traning to other Development Engineers
Provide input and make decisions regarding refactoring
Protect company proprietary and confidential information
Regularly attending team meetings to discuss projects, brainstorm ideas, and put forward solutions to any issues.
Other duties as assigned

Required Skills and Experienced:

At least a BS/BA Degree in MIS, Computer Science, Engineering, or related field
3+ Android Experience
5+ Java Experience
Familiarity with Kotlin or desire to learn Kotlin
Strong object oriented experience
Experience with interfacing with RESTful services and consuming JSON or XML
Familiarity with Git
Great English written and verbal communication skills
Candidate must have a commitment to industry best demonstrated practices, source code control, architecture, coding structure, and unit/system testing
Excellent multi-tasking skills, managing multiple initiatives at one time in a fast-paced environment

Desired Skills and Experience


Experience communicating with external devices through USB, Bluetooth, or TCP/IP
Experience with Agile/Scrum
Unit testing with Junit, Mockito, and Roboelectric
Experience creating AARs and JARs
Strong interest in the tooling/development process with continuous integration
Data security, encryption handling, compliance, data privacy and laws"
1,federal,"['information security', 'security', 'information', 'security assessments', 'information security office', 'berkeley', 'information security policies', 'information security analyst', 'security controls', 'chief information security', 'berkeley information systems', 'security analyst', 'information security standards', 'california', 'information security risk', 'assessments security analyst', 'information security policy', 'security assessments supervisor', 'security control assessment', 'berkeley information', 'security assessment services', 'community', 'assessment', 'california state committee']","Assessments Security Analyst (7338U) 32618 - University of California Berkeley - Berkeley, CA","Assessments Security Analyst (7338U) 32618 About Berkeley
At the University of California, Berkeley, we are committed to creating a community that fosters equity of experience and opportunity, and ensures that students, faculty, and staff of all backgrounds feel safe, welcome and included. Our culture of openness, freedom and belonging make it a special place for students, faculty and staff.
The University of California, Berkeley, is one of the world's leading institutions of higher education, distinguished by its combination of internationally recognized academic and research excellence; the transformative opportunity it provides to a large and diverse student body; its public mission and commitment to equity and social justice; and its roots in the California experience, animated by such values as innovation, questioning the status quo, and respect for the environment and nature. Since its founding in 1868, Berkeley has fueled a perpetual renaissance, generating unparalleled intellectual, economic and social value in California, the United States and the world.
We are looking for equity-minded applicants who represent the full diversity of California and who demonstrate a sensitivity to and understanding of the diverse academic, socioeconomic, cultural, disability, gender identity, sexual orientation, and ethnic backgrounds present in our community. When you join the team at Berkeley, you can expect to be part of an inclusive, innovative and equity-focused community that approaches higher education as a matter of social justice that requires broad collaboration among faculty, staff, students and community partners. In deciding whether to apply for a position at Berkeley, you are strongly encouraged to consider whether your values align with our Guiding Values and Principles , our Principles of Community , and our Strategic Plan .
Departmental Overview
The Information Security Office (ISO) coordinates the risk management process for UC Berkeley's information systems and directs campus-wide efforts to adequately secure Institutional data. ISO is led by the Chief Information Security Officer and consists of five teams: Policy and Outreach, Security Operations, Development and Engineering, Identity Management, and Security Assessments. This position is part of the Security Assessments team and reports to the Security Assessments Supervisor.
The Office of the CIO and Information Services & Technology (OCIO/IST) believe in and foster a workplace environment where people can bring their diverse skills, perspectives and experiences toward achieving our goals through a process of critical inquiry, discovery, innovation, while simultaneously committing to making positive contributions towards the betterment of our world.
In addition, members of the OCIO/IST community have created and endorse the following values for our organization to augment and amplify the campus principles:
We champion diversity.
We act with integrity.
We deliver.
We innovate.
Diversity, Inclusion, and Belonging are more than just suggestions for us. They are the guiding principles underlying how we come together, develop leaders at all levels of the organization, and create an environment that unites us. We affirm the dignity of all individuals, call upon our leaders to address critical issues with integrity and intention, respect our differences as well as our commonalities, and strive to uphold a just community free from discrimination and hate.
Application Review Date
The First Review Date for this job is:
3/23/2022
Responsibilities
Position Overview
The Information Security Analyst (ISA) will perform security assessments of:
Units (divisions and departments)
IT systems and services
Third-party vendors
Research environments
The ISA will also provide consulting services to campus stakeholders. The primary focus is to support units in managing information security risk and achieving alignment with external compliance requirements and information security policies. External compliance requirements include but are not limited to:
California State Committee for the Protection of Human Subjects (CPHS)
Payment Card Industry Data Security Standard (PCI-DSS)
Health Insurance Portability and Accountability Act (HIPAA)
Responsibilities
Conduct security assessment services in accordance with standard approaches.
Determine whether security controls are implemented to manage risk to an acceptable level.
Document evidence gathered, results of procedures performed, and findings identified.
Communicate assessment results and make recommendations through meetings and assessment reports.
Provide advice and guidance on classifying data and information systems.
Provide advice and guidance on adherence to information security policy, standards, and guidelines.
Participate in workgroups in support of establishing and maintaining information security policies, standards, and guidelines.
Work independently or as a part of a team on projects to further ISO's strategic priorities.
Team up with other campus security analysts to analyze emerging threats and development of risk action plans.
Gather information, analyze, and resolve security tickets on a periodic analyst rotation (during normal business hours).
Required Qualifications
Minimum of 1-2 years of experience in information security (e.g., IT/security audit, IT risk assessment, security administrator, security analyst/engineer, compliance analyst, security consultant, or penetration tester).
Ability to assess risk and evaluate the design and implementation of administrative, physical, and technical security controls.
Excellent written and oral communication skills, including the ability to compose concise and accurate assessment reports as well as the ability to articulate key points to both technical and non-technical audiences.
Demonstrated ability to:
Quickly understand diverse and complex business environments
Problem solve
Interface with a variety of personalities
Contribute within a team of security professionals, as well as the capability to work independently with only general direction
General knowledge of:
Risk and security control assessment methodologies and practices
Exception management practices
Information security standards such as ISO 27001, and CIS Critical Security Controls, NIST CSF, and NIST 800-53
Information security laws and regulations (e.g., PCI DSS and HIPAA)
Information and information system classification models
Information security technologies and methods to design and implement security controls (e.g., basic cryptographic principles, common secure communications protocols, host security, network security, etc.)
Salary & Benefits
Salary commensurate with experience. For information on the comprehensive benefits package offered by the University visit:
https://ucnet.universityofcalifornia.edu/compensation-and-benefits/index.html"
1,federal,"['air force', 'computer science', 'computer', 'meet air force', 'air force dynamic', 'science', 'force', 'air', 'programs', 'research', 'computer architecture', 'force dynamic educational', 'meet air', 'professional continuing education', 'research programs', 'force dynamic', 'afit operating instructions', 'computer operating systems', 'force and afit']",Assistant/Associate/Professor of Computer Science,"Duties
Teaches graduate-level courses in computer science, which form parts of accredited masters and doctoral degree programs, as well as parts of professional continuing education programs.
Develops courses and sequences of courses in computer science, for degree programs and continuing education, which meet Air Force's dynamic educational needs.
Plans and executes a program of research in computer science. Works directly with Air Force and Department of Defense (DoD) organizations to meet research needs. Collaborates and works well with colleagues to accomplish individual and organizational research goals. Regularly publishes research results in archival journals and presents at technical conferences. Plans, directs, coordinates, and evaluates research programs of masters and doctoral students.
Provides authoritative consultation in one or more areas of computer science to Air Force and DoD organizations.
Serves on department and school administrative and academic committees.
Mentors and manages the educational progress of MS and PhD students. Provides annual written feedback and reports on MS and PhD students as prescribed by Air Force and AFIT Operating Instructions. Qualifications
An earned Doctorate degree in Computer Science or a related field is required.

Demonstrated professional knowledge of foundational and advanced topics associated with computer science. These areas include, but are not limited to: computer architecture, data structures, programming languages, algorithm design and analysis, computer operating systems, automata theory, discrete mathematics, and logic.
Expertise in at least one of the following areas: computer architecture, database system design and analysis, high-performance computing, software engineering, computer networking, information operations, artificial intelligence, computer graphics, or visualization.

Possess the ability to communicate clearly and expertly (in English) in both verbal and written forms concerning academic, administrative and technical submit matters."
1,federal,"['university of minnesota', 'university', 'minnesota', 'qualifications', 'day', 'associate security analyst', 'active directory', 'support active directory', 'security', 'twin cities', 'employment', 'support', 'applications', 'state retirement system', 'iam', 'position', 'access management', 'critical security', 'employees', 'application', 'green card sponsorship']","Associate Security Analyst (IAM) - University of Minnesota - Minneapolis, MN","Required Qualifications:
BA/BS degree OR a combination of related education and work experience to equal at least four years.
Experience in user troubleshooting and support with information security in an enterprise environment.
Experience accomplishing goals through cross team collaboration.
Basic understanding of LDAP, AD, Azure AD, Shibboleth, or Grouper.
Please note, this position is not eligible for H-1B or Green Card sponsorship.
At the University of Minnesota, we are dedicated to changing lives through research, education, and outreach. Join our team and help us make a positive difference to the University as an Associate Security Analyst with the Identity & Access Management (IAM) team. This position will be part of a team that supports day to day operations of critical security and integrations of applications, systems, and resources at the University of Minnesota. When you work at the University of Minnesota, you not only get to help others, but you also get the resources, opportunities and support to grow your own career.
We Offer:
MN State Retirement System (MSRS) pension plan - tax deferred.
13 paid vacation days per year (starting accrual rate), in addition to 13 paid sick days and 11 paid holidays.
Reduced tuition opportunities covering 75% - 100% of eligible tuition.
Excellent and affordable health care benefits (2022 Enrollment Guide)
Wellness program with opportunity to earn lower health care rates.
Annual merit increase program.
Job Responsibilities:
Support the day to day operations of critical security infrastructure including Active Directory, LDAP, Shibboleth
Perform regular operational maintenance request tickets for integrated applications in our access management tool.
Support Active Directory, Single Sign On(SSO), and Multi Factor Authentication (MFA) infrastructure and configurations
Strong oral communication skills to work effectively with end users and IT peers.
Time management skills to prioritize workload and work through assignments and activities with efficiency and minimal supervision
Install renewed certificates for internal IAM systems
Responsible for IAM tools administration and configuration according to vendor’s best practices
Applications must be submitted online. To be considered for this position, please click the Apply button and follow the instructions. You will be given the opportunity to complete an online application for the position and attach a cover letter and resume.
Additional documents may be attached after application by accessing your ""My Job Applications"" page and uploading documents in the ""My Cover Letters and Attachments"" section.
To request an accommodation during the application process, please e-mail employ@umn.edu or call (612) 624-UOHR (8647).
The University recognizes and values the importance of diversity and inclusion in enriching the employment experience of its employees and in supporting the academic mission. The University is committed to attracting and retaining employees with varying identities and backgrounds.
The University of Minnesota provides equal access to and opportunity in its programs, facilities, and employment without regard to race, color, creed, religion, national origin, gender, age, marital status, disability, public assistance status, veteran status, sexual orientation, gender identity, or gender expression. To learn more about diversity at the U: http://diversity.umn.edu.
Any offer of employment is contingent upon the successful completion of a background check. Our presumption is that prospective employees are eligible to work here. Criminal convictions do not automatically disqualify finalists from employment.
Please note: All employees at the University of Minnesota are required to comply with the University’s Administrative Policy: COVID-19 Vaccination and Safety Protocol by either providing proof of being fully vaccinated on their first day of employment, or complete a request for an exemption for medical exemption or religious reasons. To learn more please visit: https://safe-campus.umn.edu/return-campus/get-the-vax
The University of Minnesota, Twin Cities (UMTC)
The University of Minnesota, Twin Cities (UMTC), is among the largest public research universities in the country, offering undergraduate, graduate, and professional students a multitude of opportunities for study and research. Located at the heart of one of the nation's most vibrant, diverse metropolitan communities, students on the campuses in Minneapolis and St. Paul benefit from extensive partnerships with world-renowned health centers, international corporations, government agencies, and arts, nonprofit, and public service organizations."
1,federal,"['federal reserve bank', 'reserve bank', 'federal reserve', 'reserve banks', 'bank', 'security', 'access management', 'federal', 'reserve', 'management', 'york', 'information security', 'access', 'york technology group', 'national security clearance', 'information', 'aws security analyst', 'bank information', 'group information security', 'banks', 'cloud', 'job', 'national security', 'security clearance']","AWS Security Analyst - Federal Reserve Bank of New York - New York, NY","Company
Federal Reserve Bank of New York
Working at the Federal Reserve Bank of New York positions you at the center of the financial world with a unique perspective on national and international markets and economies. You will work in an environment with a diverse group of experienced professionals to foster and support the safety, soundness, and vitality of our economic and financial systems. It is a challenge that demands the skills of a financial service professional and the intelligence of an academic—all combined with a passion for public service.
The Bank believes in work flexibility to balance the demands of work and life while also connecting and collaborating with our colleagues in person. Employees can expect to be in the office a couple of days per week as needed for meetings and team collaboration and should live within a commutable distance.
What We Do:
This position is in the Identity and Access Management (IAM) team, which resides within the Federal Reserve Bank of New York's Technology Group's Information Security function. Information Security New York (ISNY) provides services that ensure the protection of the Bank's information assets. In addition to identity and access management, ISNY provides other essential security services such as vulnerability management, cyber risk assessments, cyber policy and awareness, incident response, and insider threat mitigation. By being part of the IAM team, you will work with your colleagues in all of these security domains because access management is foundational to all services offered.
Your role as AWS Security Analyst:
In this position, you will work on cutting-edge Cloud and security technologies. Your day will never be the same, one day you might consult the business on access management, another day you will work on a project with application developers to securely migrate applications to the Cloud or you might work with your IAM colleagues on creating new automation in Sailpoint IIQ using your java skills. If you would like to work as part of a mission driven team, contact us!
What we are looking for:
Bachelor's Degree in a relevant major
Cloud and security certifications a plus
Extensive information security background
Experience implementing applications and security controls in AWS Cloud
Working Java development experience
Good understanding of AWS access policy implementation, management, controls and implementations.
In-depth technical understanding of authentication and authorization within application stacks
Familiarity with implementing security standards across enterprise
Experience automating access management tasks; previous exposure to automation in SailPoint IIQ desired but not mandatory
Good understanding of agile project processes from design to implementation.
Previous experience implementing role-based access controls across enterprise very helpful.
This position requires a National Security Clearance, which includes U.S. Citizenship
Our Benefits:
Our organization offers benefits that are the best fit for you at every stage of your career:
Fully paid Pension plan and 401k with Generous Match
Comprehensive Insurance Plans (Medical, Dental and Vision including Flexible Spending Accounts and HSA)
Subsidized Public Transportation Program
Tuition Assistance Program
Onsite Fitness & Wellness Center
And more which you can find
here
The Federal Reserve Bank of New York is committed to a diverse workforce and to providing equal employment opportunity to all persons without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, age, genetic information, disability, or military service.
The successful candidate must be fully vaccinated against COVID-19,
and receive a booster shot within 30 days of being eligible to do so, unless the Bank grants an exemption based on a medical condition or sincerely held religious belief.
This position requires possession of or the ability to obtain and maintain national security clearance, which requires U.S. citizenship.
Candidates must undergo an enhanced background check and will be tested for all controlled substances prohibited by federal law, to include marijuana.
This is not necessarily an exhaustive list of all responsibilities, duties, performance standards or requirements, efforts, skills or working conditions associated with the job. While this is intended to be an accurate reflection of the current job, management reserves the right to revise the job or to require that other or different tasks be performed when circumstances change.
Full Time / Part Time
Full time
Regular / Temporary
Regular
Job Exempt (Yes / No)
Yes
Job Category
Information Technology
Work Shift
First (United States of America)
The Federal Reserve Banks believe that diversity and inclusion among our employees is critical to our success as an organization, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool. The Federal Reserve Banks are committed to equal employment opportunity for employees and job applicants in compliance with applicable law and to an environment where employees are valued for their differences.
Privacy Notice"
